ts,topic,temp,vib,rpm
1786581707.805,factory/line1/dev01,46.31,0.96,1491.6
1786581707.805,factory/line1/dev02,47.08,0.93,1507.5
1786581707.805,factory/line2/dev01,45.12,0.90,1514.6
1786581708.305,factory/line1/dev01,46.57,0.81,1523.0
1786581708.305,factory/line1/dev02,43.16,0.93,1488.6
1786581708.305,factory/line2/dev01,46.31,1.09,1482.9
1786581708.805,factory/line1/dev01,58.75,2.54,1503.4
1786581708.805,factory/line1/dev02,47.89,0.93,1478.2
1786581708.805,factory/line2/dev01,46.98,0.78,1503.0
1786581709.305,factory/line1/dev01,46.05,0.95,1525.4
1786581709.305,factory/line1/dev02,44.94,0.91,1524.4
1786581709.305,factory/line2/dev01,43.81,0.98,1505.6
1786581709.805,factory/line1/dev01,45.04,0.93,1527.5
1786581709.805,factory/line1/dev02,44.15,0.84,1529.2
1786581709.805,factory/line2/dev01,44.33,0.81,1474.2
1786581710.305,factory/line1/dev01,43.09,0.77,1503.1
1786581710.305,factory/line1/dev02,46.79,1.00,1503.0
1786581710.305,factory/line2/dev01,43.12,0.87,1500.3
1786581710.805,factory/line1/dev01,44.66,0.87,1492.8
1786581710.805,factory/line1/dev02,45.76,0.98,1502.7
1786581710.805,factory/line2/dev01,44.70,1.07,1470.6
1786581711.305,factory/line1/dev01,45.41,0.98,1523.8
1786581711.305,factory/line1/dev02,43.86,1.08,1495.0
1786581711.305,factory/line2/dev01,45.69,0.90,1513.0
1786581711.805,factory/line1/dev01,43.10,0.95,1485.0
1786581711.805,factory/line1/dev02,46.02,1.03,1500.4
1786581711.805,factory/line2/dev01,43.73,0.89,1484.1
1786581712.305,factory/line1/dev01,47.46,0.82,1523.0
1786581712.305,factory/line1/dev02,43.77,0.95,1484.9
1786581712.305,factory/line2/dev01,55.36,2.34,1485.3
1786581712.805,factory/line1/dev01,45.77,1.06,1503.4
1786581712.805,factory/line1/dev02,45.31,1.02,1515.4
1786581712.805,factory/line2/dev01,47.51,0.74,1529.5
1786581713.305,factory/line1/dev01,45.24,0.85,1523.2
1786581713.305,factory/line1/dev02,45.52,0.73,1507.8
1786581713.305,factory/line2/dev01,46.74,0.93,1511.9
1786581713.805,factory/line1/dev01,45.80,0.72,1513.1
1786581713.805,factory/line1/dev02,47.07,1.10,1520.7
1786581713.805,factory/line2/dev01,57.62,2.50,1475.5
1786581714.305,factory/line1/dev01,47.05,0.76,1513.5
1786581714.305,factory/line1/dev02,44.96,0.83,1470.1
1786581714.305,factory/line2/dev01,43.70,0.96,1481.4
1786581714.805,factory/line1/dev01,56.16,2.36,1523.6
1786581714.805,factory/line1/dev02,46.96,0.75,1517.3
1786581714.805,factory/line2/dev01,43.92,0.97,1478.9
1786581715.305,factory/line1/dev01,46.79,0.88,1476.7
1786581715.305,factory/line1/dev02,46.74,0.77,1520.2
1786581715.305,factory/line2/dev01,45.04,0.75,1510.0
1786581715.805,factory/line1/dev01,43.40,1.09,1472.7
1786581715.805,factory/line1/dev02,46.80,0.74,1516.9
1786581715.805,factory/line2/dev01,46.44,1.06,1513.1
1786581716.305,factory/line1/dev01,43.45,0.98,1516.7
1786581716.305,factory/line1/dev02,45.33,0.85,1513.1
1786581716.305,factory/line2/dev01,43.30,0.95,1488.8
1786581716.805,factory/line1/dev01,45.98,0.81,1503.6
1786581716.805,factory/line1/dev02,44.12,0.86,1497.6
1786581716.805,factory/line2/dev01,47.85,1.09,1481.9
1786581717.305,factory/line1/dev01,43.89,0.85,1511.2
1786581717.305,factory/line1/dev02,46.81,0.91,1482.7
1786581717.305,factory/line2/dev01,43.02,0.90,1482.2
1786581717.805,factory/line1/dev01,43.48,0.99,1509.4
1786581717.805,factory/line1/dev02,47.37,0.92,1525.4
1786581717.805,factory/line2/dev01,44.12,0.92,1494.5
1786581718.305,factory/line1/dev01,47.09,1.02,1517.9
1786581718.305,factory/line1/dev02,45.25,0.72,1511.1
1786581718.305,factory/line2/dev01,43.82,0.70,1496.9
1786581718.805,factory/line1/dev01,45.72,0.83,1487.7
1786581718.805,factory/line1/dev02,47.19,0.80,1487.2
1786581718.805,factory/line2/dev01,43.90,0.84,1526.9
1786581719.305,factory/line1/dev01,44.64,0.80,1489.6
1786581719.305,factory/line1/dev02,46.36,0.97,1513.3
1786581719.305,factory/line2/dev01,45.71,0.70,1500.8
1786581719.805,factory/line1/dev01,45.02,0.92,1471.1
1786581719.805,factory/line1/dev02,45.84,0.86,1479.8
1786581719.805,factory/line2/dev01,43.11,0.83,1501.8
1786581720.305,factory/line1/dev01,46.34,1.05,1508.9
